provincia,partido,localidad,poblacion,adsl,cablemodem,dial_up,fibra_optica,satelital,wireless,telefonia_fija,3g,4g,link_indec,latitud,longitud
santiago_del_estero,robles,ingeniero_forres_est_chaguar_punco,5463,NO,NO,NO,SI,SI,SI,SI,NO,NO,86161040,-27.8988045313331,-63.9153240631198
santiago_del_estero,robles,vilmer,932,NO,NO,NO,SI,SI,NO,NO,SI,SI,86161050,-27.8080876156289,-64.0900764558405
santiago_del_estero,salavina,chilca_juliana,539,NO,NO,NO,SI,SI,SI,NO,NO,NO,86168010,-28.795424,-63.574164
santiago_del_estero,salavina,los_telares,2573,NO,NO,NO,SI,SI,NO,SI,NO,NO,86168020,-28.9961060752517,-63.3596611334149
santiago_del_estero,salavina,villa_salavina,829,NO,NO,NO,NO,SI,SI,NO,NO,SI,86168030,-28.804238,-63.427367
santiago_del_estero,san_martin,brea_pozo,1878,NO,NO,NO,SI,SI,SI,SI,SI,SI,86175010,-28.2625484480748,-63.8794848442523
tucuman,leales,manuel_garcia_fernandez,1061,SI,NO,NO,NO,NO,NO,SI,NO,NO,90056040,-26.9557033913379,-65.272073063004
tucuman,leales,pala_pala,668,NO,NO,NO,NO,SI,SI,SI,NO,NO,90056050,-27.0563442946496,-65.2181035623283
tucuman,leales,rio_colorado,1077,NO,NO,NO,NO,NO,SI,NO,SI,SI,90056060,-27.1496800217878,-65.3560513582608
tucuman,leales,santa_rosa_de_leales,1934,NO,NO,NO,NO,NO,SI,SI,SI,SI,90056070,-27.1378928767222,-65.2614173877659
tucuman,leales,villa_de_leales,1237,NO,NO,NO,NO,NO,SI,SI,NO,NO,90056090,-27.1942605268211,-65.3095561336322
tucuman,leales,villa_fiad__ingenio_leales,2791,NO,NO,NO,NO,NO,SI,SI,SI,SI,90056080,-27.0677472403134,-65.2354487523003
tucuman,lules,barrio_araujo,0,NO,NO,NO,NO,NO,NO,NO,SI,NO,90063040,-26.8418175731977,-65.2753559359172
tucuman,lules,barrio_san_felipe,2157,NO,NO,NO,NO,NO,NO,NO,SI,SI,90063010,-26.8749835532106,-65.2322262379925
tucuman,lules,el_manantial,14582,NO,SI,NO,SI,NO,NO,SI,SI,SI,90063020,-26.8445604430497,-65.2856690422125
tucuman,lules,ingenio_san_pablo,9620,SI,NO,NO,SI,NO,SI,SI,SI,SI,90063030,-26.8739965593381,-65.3103499893471
tucuman,lules,la_reduccion,5029,SI,NO,NO,NO,NO,NO,SI,SI,SI,90063040,-26.9601338991114,-65.3514727517897
tucuman,lules,lules,21088,SI,SI,NO,SI,NO,SI,SI,SI,SI,90063050,-26.9239379177434,-65.3364017910576
tucuman,monteros,acheral,2683,SI,NO,NO,SI,NO,SI,SI,SI,SI,90070010,-27.12072050474,-65.4705647177524
tucuman,monteros,capitan_caceres,513,NO,NO,NO,NO,NO,SI,NO,NO,NO,90070020,-27.1895217713073,-65.6039648120293
tucuman,monteros,monteros,23274,SI,NO,NO,SI,NO,SI,SI,SI,SI,90070030,-27.1674766637374,-65.4987774491472
caba,comuna_10,villa_real,13419,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010,-34.6194831337073,-58.5259860729102
cordoba,tercero_arriba,dalmacio_velez,1497,NO,NO,NO,SI,NO,NO,SI,SI,SI,14161040,-32.6108732524704,-63.5798837158318
cordoba,tercero_arriba,general_fotheringham,313,SI,NO,NO,NO,NO,SI,SI,SI,SI,14161050,-32.3234295842043,-63.8704257430147
cordoba,tercero_arriba,hernando,10109,SI,SI,NO,SI,NO,NO,SI,SI,SI,14161060,-32.4276148348373,-63.7330119093142
cordoba,tercero_arriba,james_craik,5110,SI,SI,NO,SI,NO,SI,SI,SI,SI,14161070,-32.1613056379775,-63.4651919500633
cordoba,tercero_arriba,las_isletillas,152,NO,NO,NO,NO,NO,SI,SI,NO,NO,14161080,-32.5100979867632,-63.9290229356551
buenos_aires,general_villegas,coronel_charlone,1348,SI,NO,NO,SI,SI,NO,SI,SI,SI,6392030,-34.672994561958,-63.3724454840572
